"cole_codigo_icfes","cole_nombre_sede"
"96578","COLEGIO LOS ÁNGELES"
"116236","COLEGIO ANDINO DE TUNJA"
"49486","IE TEC SEÑOR DE LOS MILAGROS - SEDE PRINCIPAL"
"150953","INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA"
"154740","I E TEC AGROP LIBARDO CUERVO PATARROYO"
"24778","COL DE FIRAVITOBA"
"147629","I.E. JORDAN - SEDE PRINCIPAL"
"153072","CENTRO DE INVESTIGACIONES PEDAGÓGICAS  RAYUELA"
"27748","IE FRANCISCO DE PAULA SANTANDER - SEDE PRINCIPAL"
"32086","INST INTEGD CARLOS JULIO UMAÑA TORRES"
"5652","IE NORMAL SUPERIOR VALLE DE TENZA - SEDE PRINCIPAL"
"33126","IE TEC AGROPECUARIA - SEDE PRINCIPAL"
"4911","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE - SEDE PRINCIPAL"
"48173","I.E. TECNICA LOPEZ QUEVEDO - SEDE PRINCIPAL"
"148932","I.E. TECNICA JAIRO ALBARRACIN BARRERA - SEDE PRINCIPAL"
,"I.E. EL ESPINO - SEDE PRINCIPAL"
"158741","COL BAS VADO CASTRO"
,"IE NORMAL SUPERIOR LA PRESENTACION - SEDE PRINCIPAL"
"154666","I.E. JOSE MARIA SILVA SALAZAR - SEDE PRINCIPAL"
,"IE FRANCISCO DE PAULA SANTANDER - SEDE PRINCIPAL"
,"INSTITUTO TECNICO GONZALO SUAREZ RENDON CENTRAL"
,"I.E. CASCAJAL - SEDE PRINCIPAL"
"26450","I.E. ESCUELA NORMAL SUPERIOR LA PRESENTACION - SEDE PRINCIPAL"
"731927","I.E. JOSE SANTOS GUTIERREZ - SEDE PRINCIPAL"
"60087","IE LUIS GUILLERMO ROJAS BARRERA - SEDE PRINCIPAL"
"128884","I.E. RAFAEL BAYONA NINO - SEDE PRINCIPAL"
"101261","CENTRO EDUCATIVO JUAN DE LA SALLE"
"54635","I.E. TECNICA AGROPECUARIA DE PALERMO - SEDE PRINCIPAL"
"40436","COL NZDO PABLO VI"
"60111","CONC DE DESARROLLO RURAL"
"5389","COL NZADO DE PAUNA"
"190371","INST TEC AGROPECUARIO"
"67736","COL RURJUAN PABLO II"
"168427","COLEGIO JOSE ANTONIO GALAN"
"27763","I.E. TECNICA AGROINDUSTRIAL EL ESPINO - SEDE PRINCIPAL"
"113803","I.E. TECNICA AGROPECUARIA SAN ISIDRO - SEDE PRINCIPAL"
"608638","I.E. MIGUEL FRANKLIN BUITRAGO"
"154153","COL JUAN DE JESÚS ACEVEDO"
,"IE JUAN JOSE RONDON - SEDE PRINCIPAL"
"4952","NSTRA SRA DE NAZARETH"
,"COLEGIO LA PRESENTACIÓN"
"96693","IE FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL"
"157701","I.E. MARCO AURELIO BERNAL - SEDE PRINCIPAL"
"0","IE JOSE ANTONIO GALAN - SEDE PRINCIPAL"
,"IE JOSE ANTONIO GALAN - SEDE PRINCIPAL"
,"IE MARIANO OSPINA PEREZ - SEDE PRINCIPAL"
"183442","IE DIVINO NIÑO CORMAL- SEDE PRINCIPAL"
"142323","PRINCIPAL INTEGRADO"
"92247","I.E. ARMANDO SOLANO - SEDE PRINCIPAL"
"45492","I.E. VALENTÍN GARCIA - SEDE PRINCIPAL"
"91413","I.E.T. AMBIENTAL SOTE PANELAS - SEDE PRINCIPAL"
"27086","I.E. TECNICA ANTONIO RICAURTE - SEDE PRINCIPAL"
"26450","ESC NORMAL SUPERIOR LA PRESENTACION"
"128637","I.E. LA LIBERTAD - SEDE PRINCIPAL"
"32086","IE CARLOS JULIO UMAÑA TORRES - SEDE PRINCIPAL"
"60038","INSTITUCIÓN EDUCATIVA ANGLO AMERICANO"
"78253","COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES"
"151381","COL DE EDUC BAS LAS MERCEDES"
