"cole_cod_dane_establecimiento","cole_nombre_establecimiento"
"115755000371","IE TECNICA  FRANCISCO JOSE DE CALDAS"
"215632000665","IE SAN ISIDRO"
"115022000260","I.E.T. AGROPECUARIO LA ESMERALDA"
"115839000105","I.E. TECNICA PIO MORANTES"
"315599000217","I.E. MIGUEL FRANKLIN BUITRAGO"
"115001000065","I.E. SILVINO RODRIGUEZ"
"315759000111","COLEGIO COOPERATIVO REYES PATRIA"
"115897000018","IE LIBARDO CUERVO PATARROYO"
"415001002061","IE PANAMERICANO PUENTE BOYACA"
"215759000524","INSTITUCION EDUCATIVA LA INDEPENDENCIA"
"315621000218","I.E.T. AGROPECUARIA SAN RAFAEL"
"215180000051","I.E. LAS CAÑAS"
"315759000120","COLEGIO COOPERATIVO GABRIEL CAMARO PEREZ"
"115759000279","INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO"
"215238001141","COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER"
"115272000010","I.E.T. DE FIRAVITOBA"
"115407000015","I.E. TEC IND ANTONIO RICAURTE"
"115180000013","I.E.T. AGROPECUARIO"
"315176001004","GIMNASIO CAMPESTRE EL BOSQUE"
"215469000091","I.E. JORDAN"
"115835000011","IE DIEGO DE TORRES"
"215272000197","I.E. TECNICA AGROPECUARIA SAN ANTONIO"
"315759002653","COLEGIO UNICAB VIRTUAL"
"315759002637","INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA"
"115218000209","I.E. SAN LUIS BELTRAN"
"115514000249","I.E. DE EDUCACION BASICA Y MEDIA TECNICA JOSE ANTONIO PAEZ"
"315299000436","COLEGIO CENCOV CIENCIA Y CULTURA"
"215667000048","I.E. NUEVA ESPERANZA"
"115820000023","I.E. TECNICA CARLOS JULIO UMAÑA TORRES"
"215442000065","I.E. TECNICA ZULIA DE MARIPI"
"315380000114","I.E. LA CANDELARIA"
"215776000091","IE PEDREGAL ALTO"
"115763000291","I.E. TECNICA PABLO VI"
"215681000514","IE SANTA BARBARA"
"315238001642","COLEGIO BOSTON"
"315816000191","I.E. HAYDEE CAMACHO SAAVEDRA"
"315759002645","INSTITUCION EDUCATIVA NUEVA GRANADA"
"315401000276","I.E. ALFONSO LOPEZ PUMAREJO"
"315686000177","LICEO CAMPESTRE MUNDO CONSTRUCTIVO"
"315001003845","COLEGIO JESUS MAESTRO"
"115299000011","I.E. TECNICO INDUSTRIAL MARCO AURELIO BERNAL"
"315001003483","CENTRO EDUCATIVO JUAN DE LA SALLE"
"115897000221","IE SAN JOSE DE LA FLORIDA"
"115332000294","I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO"
"315516000903","COL JOSE ASUNCION SILVA"
"315001000358","CENT EDUC COL GIMNASIO SANTANDER"
"215135000236","I.E. TECNICA MARIA AUXILIADORA"
"415516000703","INSTITUTO SANTA RITA"
