"estu_cod_reside_mcpio","estu_mcpio_reside"
"15723","SATIVASUR"
"25839","UBALÁ"
"95001","SAN JOSÉ DEL GUAVIARE"
"25126","CAJICÁ"
"50006","ACACÍAS"
"73001","IBAGUÉ"
"15106","BRICEÑO"
"15638","SÁCHICA"
"68861","VÉLEZ"
"25295","GACHANCIPÁ"
"15380","LA CAPILLA"
"15696","SANTA SOFÍA"
"52788","TANGUA"
"68081","BARRANCABERMEJA"
"5585","PUERTO NARE"
"68500","OIBA"
"15861","VENTAQUEMADA"
"15476","MOTAVITA"
"17380","LA DORADA"
"25488","NILO"
"25873","VILLAPINZÓN"
"15187","CHIVATÁ"
"15215","CORRALES"
"15778","SUTATENZA"
"15466","MONGUÍ"
"15212","COPER"
"15599","RAMIRIQUÍ"
"15109","BUENAVISTA"
"15667","SAN LUIS DE GACENO"
"13836","TURBACO"
"94001","INÍRIDA"
"5120","CÁCERES"
"15276","FLORESTA"
"85010","AGUAZUL"
"5001","MEDELLÍN"
"13894","ZAMBRANO"
"15507","OTANCHE"
"15514","PÁEZ"
"15762","SORA"
"76364","JAMUNDÍ"
"15296","GÁMEZA"
"15822","TOTA"
"25807","TIBIRITA"
"15820","TÓPAGA"
"15753","SOATÁ"
"15761","SOMONDOCO"
"15837","TUTA"
"15897","ZETAQUIRA"
"81736","SARAVENA"
"50590","PUERTO RICO"
"15047","AQUITANIA"
"15531","PAUNA"
"25779","SUSA"
"50313","GRANADA"
"25290","FUSAGASUGÁ"
"5212","COPACABANA"
"15223","CUBARÁ"
"15720","SATIVANORTE"
"8001","BARRANQUILLA"
"5686","SANTA ROSA DE OSOS"
"15299","GARAGOA"
"15022","ALMEIDA"
"50711","VISTAHERMOSA"
"50573","PUERTO LÓPEZ"
"68077","BARBOSA"
"85225","NUNCHÍA"
"25899","ZIPAQUIRÁ"
"47001","SANTA MARTA"
"15621","RONDÓN"
"15804","TIBANÁ"
"15664","SAN JOSÉ DE PARE"
"15464","MONGUA"
"68001","BUCARAMANGA"
"8573","PUERTO COLOMBIA"
"25183","CHOCONTÁ"
"17867","VICTORIA"
"15293","GACHANTIVÁ"
"15332","GÜICÁN DE LA SIERRA"
"11001","BOGOTÁ D.C."
"15189","CIÉNEGA"
"68307","GIRÓN"
"25430","MADRID"
"15491","NOBSA"
"15480","MUZO"
"15224","CUCAITA"
"15377","LABRANZAGRANDE"
"8832","TUBARÁ"
"15835","TURMEQUÉ"
"15092","BETÉITIVA"
"15673","SAN MATEO"
"15810","TIPACOQUE"
"85001","YOPAL"
"52001","PASTO"
"68327","GÜEPSA"
"66001","PEREIRA"
"15511","PACHAVITA"
"68770","SUAITA"
