"cole_cod_dane_sede","cole_nombre_sede"
"215759000664","INSTITUCION EDUCATIVA SILVESTRE ARENAS"
"215580000041","I.E. TÉCNICA NSTRA SRA DE LA PAZ  - SEDE PRINCIPAL"
"315469000533","I.E. SAN MIGUEL ARCANGEL"
"215632000592","IE NORMAL SUPERIOR - SEDE PRINCIPAL"
"215516000542","I.E. TECNICA AGRICOLA - SEDE PRINCIPAL"
"315380000114","I.E. LA CANDELARIA - SEDE PRINCIPAL"
"215681000514","IE SANTA BARBARA - SEDE PRINCIPAL"
"215572000121","I.E.T. PUERTO SERVIEZ  - SEDE PRINCIPAL"
"215001001007","RUNTA ABAJO"
"115839000105","I.E. TECNICA PIO MORANTES - SEDE PRINCIPAL"
"115759000490","INSTITUCION EDUCATIVA EMPRESARIALY AGROINDUSTRIAL LOS ANDES INSEANDES"
"415500800009","INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL"
"215248000208","I.E. CASCAJAL - SEDE PRINCIPAL"
"115317000016","COL TEC AGROP"
"315690000483","COL LEONARDO DA VINCI"
"215632000665","COL RUR SAN ISIDRO"
"215322000070","JULIA FLÓREZ"
"215176001131","I.E. TECNICA LOS COMUNEROS - SEDE PRINCIPAL"
"115673000012","I.E. NORMAL SUPERIOR - SEDE PRINCIPAL"
"315238001758","INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA"
"315238800031","INSTITUTO FRANCESCO PETRARCA - SEDE PRINCIPAL"
"115646000019","IE TECNICA NACIONALIZADA DE SAMACA - SEDE PRINCIPAL"
"115753000013","COL NALZADO JUAN JOSE RONDON"
"215480000133","I.E. NUESTRA SEÑORA DE LA NAVAL - SEDE PRINCIPAL"
"215600000311","COL NSTRA SRA DE LA CANDELARIA"
"315759000227","COLEGIO CIUDAD DEL SOL"
"115001002017","ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON"
"315176000997","CENTRO DE ENSEÑANZA PRECOZ CAMINO AL SABER"
"315001003476","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"315299800009","INSTITUTO SANTA SOFIA"
"115047000019","I.E. TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL"
"115518000219","I.E. AGROPECUARIA - SEDE PRINCIPAL"
"115664000123","IE HORIZONTES - SEDE PRINCIPAL"
"115204000176","I.E. INTEGRADO - SEDE PRINCPAL"
"215667000048","IE NUEVA ESPERANZA  - SEDE PRINCIPAL"
"115299000011","INST TEC INDUSTRIAL MARCO AURELIO BERNAL"
"115537000025","IE TEC INDUSTRIAL Y MINERA - SEDE PRINCIPAL"
"115774000021","IE NSTRA SRA DEL CARMEN - SEDE PRINCIPAL"
"315176000857","COL BILING MONTESSORI"
"315759002637","INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA - SEDE PRINCIPAL"
"315299000428","LICEO MODERNO JEAN PIAGET - SEDE PRINCIPAL"
"115022000260","I.E.T. AGROPECUARIO LA ESMERALDA - SEDE PRINCIPAL"
"315176000971","COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO"
"215531000478","I.E. SANTA ROSA - SEDE PRINCIPAL"
"315646000557","INSTITUTO DE EDUCACION FORMAL COMFABOY - SEDE PRINCIPAL"
"315638000050","IE NUEVA GENERACION - SEDE PRINCIPAL"
"115720000212","IE TEC NSTRA SEÑORA DEL ROSARIO - SEDE PRINCIPAL"
"115368000151","I.E. LOPEZ QUEVEDO"
"215676000077","CENT DE EDUC BAS DE HATOVIEJO"
"215599000123","COL BAS NAGUATA"
"115839000105","IE TEC PIO MORANTES - SEDE PRINCIPAL"
"315001000188","COLEGIO DE LA PRESENTACION TUNJA"
"115377000015","I.E. VALENTÍN GARCIA - SEDE PRINCIPAL"
"115469000038","I.E. TECNICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"315759002645","INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL"
"215464000085","COL DE EDUC BAS TUNJUELO"
"215491000348","I.E.T. DE NAZARETH - SEDE PRINCIPAL"
"115180000013","I.E.T. AGROPECUARIO - SEDE PRINCIPAL"
"415632000869","COLEGIO NUEVA INGLATERRA"
"215238000731","INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE PRINCIPAL"
"115176000084","I.E. TECNICO INDUSTRIAL JULIO FLOREZ - SEDE PRINCIPAL"
"315176000016","I.E.T. COMERCIAL SAGRADO CORAZON DE JESÚS - SEDE PRINCIPAL"
"315753000021","I.E. ESCUELA NORMAL SUPERIOR LA PRESENTACION - SEDE PRINCIPAL"
"115162000120","I.E. DE CERINZA - SEDE PRINCIPAL"
"215507000530","I.E. SAN JOSE DE NAZARETH - SEDE PRINCIPAL"
"215778000047","I.E. LOS NARANJOS - SEDE PRINCIPAL"
"315778000181","IE TEC SAN BARTOLOME - SEDE PRINCIPAL"
"315176000997","CENT. DE ENSEÑ. PRECOS CAMINO AL SABER"
"315806000214","IE JORGE CLEMENTE PALACIOS - SEDE PRINCIPAL"
"215531000435","CONC DE DESARROLLO RURAL"
"215469000091","COL DE EDUCACION BAS PAJALES"
"315806000214","I.E. JORGE CLEMENTE PALACIOS - SEDE PRINCIPAL"
"315681000331","I.E. PABLO VALETTE - SEDE PRINCIPAL"
"315001003756","COLEGIO CRISTO REY - SEDE PRINCIPAL"
"315176001097","COLEGIO CORPORACIÓN SANTO DOMINGO - SEDE PRINCIPAL"
"215804000204","IE SUPANECA - SEDE PRINCIPAL"
"215755000171","IE COMEZA HOYADA"
"215232000020","COL DE EDUC BAS EL CERRO"
"115238000728","COLEGIO BOYACA DE DUITAMA SEDE BACHILLERATO"
"315407000359","GIMNASIO CAMPESTRE SANTO DOMINGO - SEDE PRINCIPAL"
