cole_cod_mcpio_ubicacion_encoded,cole_cod_mcpio_ubicacion
253.40392373810687,15047
278.79652810528944,15759
283.44684041664584,15238
244.45930814880293,15212
273.910278007059,15204
251.66191919937918,15518
281.91436793535274,15001
281.91436793535274,15001
278.79652810528944,15759
248.540450189573,15761
256.4521162002395,15367
269.3051934301557,15299
256.80535880358724,15763
281.91436793535274,15001
260.01403220438306,15500
258.66415769827074,15646
259.44817044063785,15176
259.2555897801512,15599
283.44684041664584,15238
247.44717955267726,15542
234.56412766614534,15681
247.72383094664247,15814
265.0556375681309,15407
283.44684041664584,15238
283.44684041664584,15238
261.7864176222724,15667
253.1559768956121,15861
254.6683010180086,15879
281.91436793535274,15001
259.44817044063785,15176
281.91436793535274,15001
253.02285318803726,15106
259.44817044063785,15176
260.8968231713957,15804
283.44684041664584,15238
269.0717589659047,15753
283.44684041664584,15238
261.8945098744533,15835
253.40392373810687,15047
278.79652810528944,15759
278.79652810528944,15759
261.7864176222724,15667
278.79652810528944,15759
247.0135834476133,15740
247.0135834476133,15740
281.91436793535274,15001
259.44817044063785,15176
265.0556375681309,15407
263.9208299130718,15403
250.13840655268888,15296
283.44684041664584,15238
246.92821814732267,15476
240.1866799811403,15580
237.7604579147751,15572
259.44817044063785,15176
260.65314363632876,15837
281.91436793535274,15001
253.81081807110758,15673
283.44684041664584,15238
278.79652810528944,15759
281.91436793535274,15001
278.79652810528944,15759
256.29210575646647,15322
281.91436793535274,15001
237.7604579147751,15572
237.7604579147751,15572
254.70498061080517,15762
247.0135834476133,15740
259.44817044063785,15176
278.79652810528944,15759
283.44684041664584,15238
259.44817044063785,15176
259.44817044063785,15176
281.91436793535274,15001
278.79652810528944,15759
244.56311499226024,15185
281.91436793535274,15001
238.4423875361076,15822
281.91436793535274,15001
239.25354834619662,15696
238.4423875361076,15822
281.91436793535274,15001
278.79652810528944,15759
252.3331128817532,15897
287.93206180833766,15516
255.7416010753088,15537
283.44684041664584,15238
252.3331128817532,15897
260.10784341472737,15380
283.44684041664584,15238
278.79652810528944,15759
281.91436793535274,15001
247.0135834476133,15740
251.60395286571838,15755
281.91436793535274,15001
283.44684041664584,15238
281.91436793535274,15001
281.91436793535274,15001
236.44795518064987,15632
237.7604579147751,15572
256.29210575646647,15322
264.1853169695476,15808
256.38018813625536,15514
246.80760279814606,15638
278.79652810528944,15759
242.6367478882465,15531
278.79652810528944,15759
281.91436793535274,15001
278.79652810528944,15759
269.0717589659047,15753
242.4284166133637,15778
278.79652810528944,15759
249.73363801825965,15189
287.93206180833766,15516
262.09251759241675,15764
259.44817044063785,15176
281.91436793535274,15001
253.1559768956121,15861
258.54650265378893,15469
259.44817044063785,15176
283.44684041664584,15238
240.1866799811403,15580
283.44684041664584,15238
283.44684041664584,15238
283.44684041664584,15238
278.79652810528944,15759
265.0556375681309,15407
281.91436793535274,15001
281.91436793535274,15001
249.73363801825965,15189
283.44684041664584,15238
281.91436793535274,15001
256.4521162002395,15367
281.91436793535274,15001
283.44684041664584,15238
287.93206180833766,15516
278.79652810528944,15759
281.91436793535274,15001
281.91436793535274,15001
283.44684041664584,15238
274.8121662150275,15491
283.44684041664584,15238
281.91436793535274,15001
232.90484351149445,15183
281.91436793535274,15001
281.91436793535274,15001
278.79652810528944,15759
239.25354834619662,15696
281.91436793535274,15001
265.0556375681309,15407
243.96778417620368,15480
269.3610210919542,15806
253.40392373810687,15047
283.44684041664584,15238
278.79652810528944,15759
273.910278007059,15204
243.25940347610873,15180
233.42586350752782,15368
261.7864176222724,15667
281.91436793535274,15001
261.37622576350645,15215
281.91436793535274,15001
281.91436793535274,15001
281.91436793535274,15001
283.44684041664584,15238
261.8945098744533,15835
278.79652810528944,15759
258.72863466764886,15087
256.4521162002395,15367
283.44684041664584,15238
247.44717955267726,15542
259.44817044063785,15176
281.91436793535274,15001
283.44684041664584,15238
232.90484351149445,15183
247.72383094664247,15814
260.65314363632876,15837
